"id","uniprot","main_gene","Protein.names","Gene.names","up_low_log2_rep1","up_low_log2_rep2","up_low_log2_rep3","down_high_log2_rep1","down_high_log2_rep2","down_high_log2_rep3","log2_avg_upfc","log2_avg_downfc","qVal","directionfc"
4,"A0AVT1","UBA6","Ubiquitin-like modifier-activating enzyme 6","UBA6",0.066483501,-0.12221142,-0.099334167,-0.035742203,-0.042146647,-0.10425274,-0.049206577,-0.060384641,1,"OTHER"
5,"A0FGR8","ESYT2","Extended synaptotagmin-2","ESYT2",-0.082970681,-0.032620316,-0.164388215,-0.033724276,-0.004854702,-0.018161759,-0.092308663,-0.018865352,1,"OTHER"
6,"A0JNW5","UHRF1BP1L","UHRF1-binding protein 1-like","UHRF1BP1L",0.156410328,-0.072600133,0.073975417,0.200491208,0.016933853,-0.045560277,0.055679915,0.061112486,1,"OTHER"
7,"A0MZ66","KIAA1598","Shootin-1","KIAA1598",-0.080954899,-0.255008477,-0.029997048,0.368610559,0.180196963,-0.197874641,-0.118812477,0.135745572,0.85470724,"OTHER"
8,"A1A4S6","ARHGAP10","Rho GTPase-activating protein 10","ARHGAP10",-0.13017988,-0.037490262,-0.08814626,-0.028424686,-0.069370766,-0.063803471,-0.084773995,-0.053752041,1,"OTHER"
10,"A1L0T0","ILVBL","Acetolactate synthase-like protein","ILVBL",-0.004532518,-0.178115558,-0.080356204,-0.10311483,-0.095428286,-0.246043055,-0.085923319,-0.146552002,1,"OTHER"
11,"A1L4H1","SSC5D","Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D","SSC5D",0.288165776,-0.057505088,-0.348589399,0.103928023,0.317093688,0.415217781,-0.015781141,0.284519594,0.501609025,"OTHER"
12,"A1X283","SH3PXD2B","SH3 and PX domain-containing protein 2B","SH3PXD2B",-0.085519641,0.196489536,0.047201625,0.06226927,0.00786917,0.103564427,0.057328017,0.058432377,1,"OTHER"
13,"A1XBS5","FAM92A1","Protein FAM92A1","FAM92A1",0.597323283,0.054538713,0.081625319,-0.123220951,0.166393672,0.524827665,0.266893858,0.213771099,1,"OTHER"
14,"A1Z1Q3","MACROD2","O-acetyl-ADP-ribose deacetylase MACROD2","MACROD2",0.311747507,0.07153317,-0.030208859,-0.020216134,-0.010381843,0.068468975,0.124911088,0.013173007,1,"OTHER"
15,"A2A3N6","PIPSL","Putative PIP5K1A and PSMD4-like protein","PIPSL",-0.223358983,-0.218857359,0.338005603,0.152103673,0.23884215,-0.028562704,-0.009736104,0.125047247,1,"OTHER"
17,"A2RRP1","NBAS","Neuroblastoma-amplified sequence","NBAS",0.047563444,0.039529178,0.072015672,0.092497176,0.011216796,0.013723939,0.05310236,0.039642559,1,"OTHER"
21,"A3KMH1","VWA8","von Willebrand factor A domain-containing protein 8","VWA8",0.81351282,0.452674797,0.742100835,0.332936685,0.239563344,0.191439977,0.67767226,0.255848295,0.202366572,"OTHER"
22,"A3KN83","SBNO1","Protein strawberry notch homolog 1;Protein strawberry notch homolog 2","SBNO1;SBNO2",-0.093563235,1.033369653,0.469555176,0.617011963,0.49078042,0.51802913,0.542237216,0.542967159,1,"OTHER"
23,"A4D1P6","WDR91","WD repeat-containing protein 91","WDR91",-0.257913583,0.114977506,0.274206698,-0.242585598,0.323058311,0.4349868,0.060547145,0.200842144,1,"OTHER"
24,"A4D2B0","MBLAC1","Metallo-beta-lactamase domain-containing protein 1","MBLAC1",-0.236481451,0.222821656,-0.335244025,0.352137629,-0.250503496,0.335354902,-0.095174607,0.17152338,0.744733348,"OTHER"
28,"A5PLN9","TRAPPC13","Trafficking protein particle complex subunit 13","TRAPPC13",0.643661468,0.349492741,0.460284615,-0.252332544,0.304209656,0.026403963,0.489616541,0.043927869,0.119825927,"OTHER"
29,"A5YKK6","CNOT1","CCR4-NOT transcription complex subunit 1","CNOT1",0.090307374,0.051408093,0.225427706,-0.171831179,0.187500414,0.01044627,0.124326647,0.016149809,1,"OTHER"
30,"Q9GZQ8","MAP1LC3B","Microtubule-associated proteins 1A/1B light chain 3B;Microtubule-associated proteins 1A/1B light chain 3 beta 2","MAP1LC3B;MAP1LC3B2",-0.215005785,0.285389575,0.331968696,-0.277053326,0.063885025,0.21871033,0.154458728,0.01637487,1,"OTHER"
34,"A6NDG6","PGP","Phosphoglycolate phosphatase","PGP",-0.189193231,-0.376195858,-0.016716798,-0.034210408,-0.103974004,-0.074534427,-0.186589012,-0.070622534,1,"OTHER"
35,"A6NDU8","C5orf51","UPF0600 protein C5orf51","C5orf51",-0.396579154,0.089598872,-0.060330679,0.142633607,-0.167399939,-0.323930838,-0.108437733,-0.103015376,1,"OTHER"
37,"A6NFA0","FAM205CP","Putative family with sequence similarity 205, member C protein","FAM205CP",0.094930989,0.665625721,0.124838734,0.033911093,0.074204239,0.084189754,0.319870796,0.064264906,0.885815301,"OTHER"
39,"A6NFQ2","TCAF2","TRPM8 channel-associated factor 2","TCAF2",0.963491961,0.186571134,0.524960245,0.313377652,-0.169796573,0.619172267,0.593584428,0.289864048,0.560319232,"OTHER"
40,"A6NGC4","TLCD2","TLC domain-containing protein 2","TLCD2",-0.291036926,0.040922496,-0.161303378,0.032217965,-0.071815259,0.243993908,-0.130627241,0.074181023,0.97716486,"OTHER"
41,"A6NHQ2","FBLL1","rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1","FBLL1",-0.789901249,-0.297991428,-0.040491874,-0.965827568,0.263108197,0.170975586,-0.343676872,-0.080156259,0.994401827,"OTHER"
42,"A6NHR9","SMCHD1","Structural maintenance of chromosomes flexible hinge domain-containing protein 1","SMCHD1",-0.015836882,-0.048832763,-0.192296338,0.024794109,-0.011731971,-0.080505548,-0.083644417,-0.021823081,1,"OTHER"
43,"A6NHX0","GATSL2","GATS-like protein 2;GATS-like protein 3","GATSL2;GATSL3",-0.173472176,0.09190103,0.161774126,-0.072626439,0.056147231,-0.010651233,0.033812538,-0.008084807,1,"OTHER"
44,"A6NIH7","UNC119B","Protein unc-119 homolog B","UNC119B",0.150129725,-0.230581977,-0.176994329,0.044578645,-0.248522913,-0.199154772,-0.075771287,-0.128576635,1,"OTHER"
46,"A6NJ78","METTL15","Probable methyltransferase-like protein 15","METTL15",0.549930355,0.174664979,0.044270531,0.357319151,0.016555972,0.149063872,0.272572265,0.181180926,1,"OTHER"
48,"A6NKT7","RGPD3","RanBP2-like and GRIP domain-containing protein 3;RanBP2-like and GRIP domain-containing protein 4;RANBP2-like and GRIP domain-containing protein 5/6;RANBP2-like and GRIP domain-containing protein 8;RANBP2-like and GRIP domain-containing protein 1;RANBP2-like and GRIP domain-containing protein 2","RGPD3;RGPD4;RGPD5;RGPD8;RGPD1;RGPD2",0.013471481,-0.139217352,-0.114007453,0.145629502,-0.03087323,0.269206112,-0.078355045,0.133206365,0.966012075,"OTHER"
51,"Q17RB0","FAM127C","Protein FAM127C;Protein FAM127A;Protein FAM127B","FAM127C;FAM127A;FAM127B",-0.064093214,0.172264063,-0.201779618,-0.039507086,-0.234332569,0.016382893,-0.02285483,-0.081875368,1,"OTHER"
56,"A8CG34","POM121C","Nuclear envelope pore membrane protein POM 121C","POM121C",-0.273582033,-0.363972779,-0.238374316,0.153366853,-0.022049529,-0.148464395,-0.29101239,-0.00038245,0.639714239,"OTHER"
58,"A8MSI8","LYRM9","LYR motif-containing protein 9","LYRM9",-0.05927528,-0.276702053,-0.352659754,-0.121695126,-0.340846922,-0.284881691,-0.224114529,-0.246113873,1,"OTHER"
59,"A8MVW0","FAM171A2","Protein FAM171A2","FAM171A2",0.068307169,-0.100631912,0.284941727,-0.183242644,-0.230674973,-0.051035553,0.092870954,-0.152964918,0.853352465,"OTHER"
60,"A8MWY0","KIAA1324L","UPF0577 protein KIAA1324-like","KIAA1324L",0.448922232,0.040003914,-0.121223223,0.078809306,-0.005390496,0.119646244,0.142977348,0.065289674,1,"OTHER"
61,"A8MXV4","NUDT19","Nucleoside diphosphate-linked moiety X motif 19, mitochondrial","NUDT19",0.375790134,-0.327168071,0.077722098,0.187181812,-0.042012346,0.028543108,0.070389338,0.061116391,1,"OTHER"
63,"A9UHW6","MIF4GD","MIF4G domain-containing protein","MIF4GD",-0.019844617,-0.024763365,0.091595796,0.042526305,0.135647186,0.034260987,0.016671697,0.071549151,1,"OTHER"
67,"P0CG08","GPR89B","Golgi pH regulator B;Golgi pH regulator A","GPR89B;GPR89A",-0.120875964,-0.093953804,-0.354250046,-0.169620299,0.01792129,-0.06351067,-0.185049468,-0.069699726,1,"OTHER"
69,"C4AMC7","WASH3P","Putative WAS protein family homolog 3;WAS protein family homolog 2;WAS protein family homolog 1","WASH3P;WASH2P;WASH1",-0.108333495,-0.234705732,-0.117876689,-0.075224353,0.003744574,-0.072987707,-0.152505297,-0.04768601,1,"OTHER"
70,"C9J7I0","UMAD1","UBAP1-MVB12-associated (UMA)-domain containing protein 1","UMAD1",-0.075457046,0.060705807,-0.219060857,0.120518413,-0.161772751,0.260937021,-0.073422698,0.083750335,1,"OTHER"
71,"C9JLW8","FAM195B","Protein FAM195B","FAM195B",-0.18260888,-0.100090833,-0.08983974,0.022930863,-0.199122875,-0.005580825,-0.123586085,-0.057271274,1,"OTHER"
171,"E9PAV3","NACA","Nascent polypeptide-associated complex subunit alpha, muscle-specific form;Nascent polypeptide-associated complex subunit alpha","NACA",-0.002593348,-0.056787557,0.067783629,0.163777211,-0.033765685,-0.091600403,0.003703835,0.01700232,1,"OTHER"
172,"E9PRG8","C11orf98","Uncharacterized protein C11orf98","C11orf98",-0.597541782,-0.526495235,0.09533324,-0.096910303,-0.468308809,-0.192810943,-0.307911833,-0.244261152,1,"OTHER"
175,"O00115","DNASE2","Deoxyribonuclease-2-alpha","DNASE2",0.301407813,0.136992379,0.157684994,0.051249281,0.014432351,-0.043289616,0.200568152,0.007987389,1,"OTHER"
176,"O00116","AGPS","Alkyldihydroxyacetonephosphate synthase, peroxisomal","AGPS",-0.293146405,-0.059653999,-0.102989183,-0.01065417,0.052000259,-0.049156305,-0.148418856,-0.001999537,1,"OTHER"
177,"O00139","KIF2A","Kinesin-like protein KIF2A","KIF2A",-0.047429839,-0.193949922,-0.079411957,0.064407328,-0.090537357,-0.069821522,-0.105571026,-0.030332386,1,"OTHER"
178,"O00142","TK2","Thymidine kinase 2, mitochondrial","TK2",0.168165388,0.155850496,0.025630187,0.059765122,0.321179729,0.200849373,0.117974751,0.197874889,1,"OTHER"
179,"O00148","DDX39A","ATP-dependent RNA helicase DDX39A","DDX39A",-0.221646287,-0.087269852,0.196563123,-0.163974488,-0.083223877,0.263802443,-0.026766508,0.017754563,1,"OTHER"
180,"O00151","PDLIM1","PDZ and LIM domain protein 1","PDLIM1",0.017501998,0.125632999,-0.01926016,-0.038266784,-0.141642654,0.063864956,0.04261177,-0.036243349,1,"OTHER"
181,"O00154","ACOT7","Cytosolic acyl coenzyme A thioester hydrolase","ACOT7",-0.082399778,-0.078849387,-0.035391176,-0.003106834,0.101571008,0.080821878,-0.065387935,0.060467282,1,"OTHER"
182,"O00159","MYO1C","Unconventional myosin-Ic","MYO1C",0.075775769,-0.052652416,-0.108987319,-0.001010317,0.062525529,-0.0658323,-0.026534013,-0.00048762,1,"OTHER"
183,"O00161","SNAP23","Synaptosomal-associated protein 23","SNAP23",-0.006282763,-0.134577386,-0.218145934,0.068119139,-0.102575648,-0.305161163,-0.117025347,-0.105178577,1,"OTHER"
184,"O00165","HAX1","HCLS1-associated protein X-1","HAX1",-0.057935493,-0.34127958,-0.24565497,0.272893184,0.069692959,0.06237897,-0.210111351,0.138337364,0.378763469,"OTHER"
187,"O00170","AIP","AH receptor-interacting protein","AIP",0.119359862,0.031001521,0.025486293,-0.046636093,0.000330262,-0.116071028,0.059261425,-0.053335395,1,"OTHER"
188,"O00178","GTPBP1","GTP-binding protein 1","GTPBP1",-0.275218635,-0.179811202,-0.080283454,-0.091691023,-0.117167594,-0.001897102,-0.176242277,-0.069399375,1,"OTHER"
189,"O00186","STXBP3","Syntaxin-binding protein 3","STXBP3",-0.114873456,-0.065248937,-0.022054217,0.14724998,0.062572273,-0.114711207,-0.066894174,0.035787981,1,"OTHER"
190,"O00192","ARVCF","Armadillo repeat protein deleted in velo-cardio-facial syndrome","ARVCF",0.209512334,0.609050945,-0.804177296,0.019956063,-0.401450466,0.723145658,0.117358747,0.189794119,1,"OTHER"
191,"O00193","SMAP","Small acidic protein","SMAP",0.081553612,-0.206372961,-0.423500756,-0.240521146,-0.058810419,0.069247112,-0.167861488,-0.071136297,1,"OTHER"
192,"O00203","AP3B1","AP-3 complex subunit beta-1","AP3B1",0.018743362,0.098076348,0.013629064,-0.037985464,-0.005584515,-0.125346621,0.044004088,-0.055424163,1,"OTHER"
194,"O00213","APBB1","Amyloid beta A4 precursor protein-binding family B member 1","APBB1",0.233306767,-0.119215452,0.185244504,0.293951769,-0.658960253,0.461748934,0.108011008,0.1094893,1,"OTHER"
195,"O00217","NDUFS8","NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial","NDUFS8",-0.026503058,-0.219769473,-0.23405023,-0.159764902,0.193551494,0.019794406,-0.156957157,0.025057781,1,"OTHER"
196,"O00221","NFKBIE","NF-kappa-B inhibitor epsilon","NFKBIE",-0.149108664,0.180318149,-0.04358974,0.079724609,0.242858192,-0.488724938,0.002488411,-0.022876093,1,"OTHER"
198,"O00231","PSMD11","26S proteasome non-ATPase regulatory subunit 11","PSMD11",0.123644355,-0.076607868,-0.072626968,0.155872342,0.036325983,-0.014939662,-0.005457384,0.060873803,1,"OTHER"
199,"O00232","PSMD12","26S proteasome non-ATPase regulatory subunit 12","PSMD12",0.057029575,0.196638707,-0.118386175,0.005943039,0.109238427,-0.084497214,0.050821746,0.012401684,1,"OTHER"
200,"O00233","PSMD9","26S proteasome non-ATPase regulatory subunit 9","PSMD9",0.11177115,0.106551866,0.141045741,-0.047860498,-0.103045741,0.132653632,0.119869634,-0.002530052,1,"OTHER"
201,"O00244","ATOX1","Copper transport protein ATOX1","ATOX1",-0.100540519,0.169964734,0.02995869,0.108089062,0.170102599,0.124716872,0.037357555,0.134541613,1,"OTHER"
202,"O00264","PGRMC1","Membrane-associated progesterone receptor component 1","PGRMC1",0.149335445,0.10294516,-0.039252602,-0.051324799,0.112281998,0.07336483,0.073217488,0.046446461,1,"OTHER"
203,"O00267","SUPT5H","Transcription elongation factor SPT5","SUPT5H",-0.038643854,0.073720489,0.057753665,0.087699251,0.084927372,-0.094637274,0.031790768,0.028482468,1,"OTHER"
204,"O00268","TAF4","Transcription initiation factor TFIID subunit 4","TAF4",0.490602489,-0.184930713,0.365434715,0.152230433,0.230727797,0.391166895,0.252170422,0.261497394,1,"OTHER"
205,"O00273","DFFA","DNA fragmentation factor subunit alpha","DFFA",0.255728399,-0.010265593,0.030618296,0.079599325,0.06031066,-0.05686487,0.096845596,0.028930135,1,"OTHER"
206,"O00287","RFXAP","Regulatory factor X-associated protein","RFXAP",0.498332742,0.007884816,0.261474809,0.086491979,-0.03526712,0.278148593,0.269736933,0.115598844,1,"OTHER"
207,"O00291","HIP1","Huntingtin-interacting protein 1","HIP1",-0.012362115,0.112336563,0.318953257,0.189507796,0.11026282,0.137081229,0.146164487,0.145993677,1,"OTHER"
208,"O00299","CLIC1","Chloride intracellular channel protein 1","CLIC1",-0.045915029,-0.030404621,-0.027274463,0.028964776,0.036256521,0.030111156,-0.034508376,0.031781038,1,"OTHER"
209,"O00303","EIF3F","Eukaryotic translation initiation factor 3 subunit F","EIF3F",-0.043916951,-0.094059415,-0.003604194,0.05922085,0.000187388,0.02701081,-0.046719615,0.029008324,1,"OTHER"
211,"O00330","PDHX","Pyruvate dehydrogenase protein X component, mitochondrial","PDHX",-0.019533531,-0.190095445,-0.11386354,0.085186362,-0.01917865,-0.04122641,-0.106141136,0.009322122,1,"OTHER"
212,"O00391","QSOX1","Sulfhydryl oxidase 1","QSOX1",0.598326671,0.344580493,0.124754175,-0.076594327,-0.011579239,0.35642801,0.368884988,0.102345379,0.721202937,"OTHER"
213,"O00399","DCTN6","Dynactin subunit 6","DCTN6",0.817366152,0.435152075,0.36521326,0.107727713,0.169561556,0.383031089,0.553298663,0.224997315,0.497180407,"OTHER"
214,"O00400","SLC33A1","Acetyl-coenzyme A transporter 1","SLC33A1",0.049856787,-0.030228621,0.188729224,-0.253205988,0.152878804,-0.078945767,0.07230551,-0.050121571,1,"OTHER"
215,"O00401","WASL","Neural Wiskott-Aldrich syndrome protein","WASL",0.625540543,-0.070856942,-0.024189956,0.022966062,0.184652676,-0.145205156,0.213392353,0.027078703,1,"OTHER"
217,"O00410","IPO5","Importin-5","IPO5",-0.087328025,-0.141773827,-0.110720654,0.016985838,0.039626022,-0.051460243,-0.113101968,0.00223433,1,"OTHER"
218,"O00418","EEF2K","Eukaryotic elongation factor 2 kinase","EEF2K",0.157571982,0.070879127,-0.068292874,-0.356437481,-0.173110698,0.126609251,0.056366555,-0.120428028,1,"OTHER"
219,"O00422","SAP18","Histone deacetylase complex subunit SAP18","SAP18",-0.004946637,0.002940274,-0.297780556,0.406309412,-0.276225295,0.050119445,-0.093304253,0.086960611,1,"OTHER"
220,"O00423","EML1","Echinoderm microtubule-associated protein-like 1","EML1",0.090479356,0.25570785,-0.136763785,0.065146135,-0.122817446,-0.034721221,0.078702025,-0.028752036,1,"OTHER"
221,"O00425","IGF2BP3","Insulin-like growth factor 2 mRNA-binding protein 3","IGF2BP3",-0.067817461,0.02382988,-0.105873313,-0.041539972,-0.03540698,-0.182130728,-0.048920887,-0.084785574,1,"OTHER"
222,"O00429","DNM1L","Dynamin-1-like protein","DNM1L",0.030007539,-0.054769756,0.028658941,0.013162024,-0.066299905,-0.035858955,0.001840197,-0.029293489,1,"OTHER"
223,"O00442","RTCA","RNA 3-terminal phosphate cyclase","RTCA",-0.294605513,0.02976725,-0.126942071,-0.057943144,0.179400946,0.004257625,-0.124527582,0.045443816,1,"OTHER"
224,"O00443","PIK3C2A","Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha","PIK3C2A",0.037333941,0.122271704,0.195592911,0.295261887,0.252413598,-0.318750474,0.119846522,0.102129549,1,"OTHER"
225,"O00458","IFRD1","Interferon-related developmental regulator 1","IFRD1",0.77233703,-1.447318793,0.57829332,-0.348857346,-0.37611354,0.576101183,0.25007977,0.022204998,1,"OTHER"
226,"O00461","GOLIM4","Golgi integral membrane protein 4","GOLIM4",0.13906956,0.046826498,0.196750392,0.079679146,-0.01583057,0.022311939,0.128864697,0.029255316,1,"OTHER"
227,"O00462","MANBA","Beta-mannosidase","MANBA",0.198673315,0.132039228,0.44476321,0.113647811,0.087660487,0.24907304,0.264866577,0.151880167,1,"OTHER"
228,"O00469","PLOD2","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2","PLOD2",-0.129748481,-0.01954813,-0.268923399,0.071553498,0.121209708,0.088155727,-0.135812622,0.093787546,0.8800341,"OTHER"
230,"O00471","EXOC5","Exocyst complex component 5","EXOC5",-0.029310607,0.050289844,-0.0384264,0.040959116,0.017115545,-0.063973627,-0.005262054,-0.001271362,1,"OTHER"
232,"O00478","BTN3A3","Butyrophilin subfamily 3 member A3","BTN3A3",0.217613502,0.145476794,0.219435067,-0.217016906,0.070336399,0.147315995,0.19458393,0.008540033,1,"OTHER"
233,"O00479","HMGN4","High mobility group nucleosome-binding domain-containing protein 4","HMGN4",-0.051645319,0.071987834,0.17259873,0.756494352,0.141088391,0.366309607,0.067219376,0.444019781,0.356124142,"OTHER"
234,"O00483","NDUFA4","Cytochrome c oxidase subunit NDUFA4","NDUFA4",0.063657521,-0.080635078,-0.243191614,-0.223308766,-0.081520035,-0.132507623,-0.081294516,-0.14459257,1,"OTHER"
