"id","uniprot","main_gene","Protein.names","Gene.names","Hhigh_1","Hhigh_2","Hhigh_3","Hlow_1","Hlow_2","Hlow_3","high_low_log2_rep1","high_low_log2_rep2","high_low_log2_rep3","log2_avg_high_low","qVal","directionfc"
4,"A0AVT1","UBA6","Ubiquitin-like modifier-activating enzyme 6","UBA6",21.33971036,21.23207926,21.29529968,21.2145115,21.12938256,21.20337635,0.125198862,0.102696701,0.091923329,0.106672989,0.57276538,"OTHER"
5,"A0FGR8","ESYT2","Extended synaptotagmin-2","ESYT2",22.31922403,22.20833728,22.34710447,22.44541,22.24725509,22.28599216,-0.126185966,-0.038917807,0.061112312,-0.032632078,0.797050619,"OTHER"
6,"A0JNW5","UHRF1BP1L","UHRF1-binding protein 1-like","UHRF1BP1L",16.4719214,17.03764731,16.94575134,16.65344942,17.04113897,17.03985587,-0.181528013,-0.003491659,-0.094104529,-0.091210224,0.62230347,"OTHER"
7,"A0MZ66","KIAA1598","Shootin-1","KIAA1598",14.81837831,13.95300709,14.27727248,15.79370636,15.0402151,15.05468322,-0.975328049,-1.087208004,-0.777410738,-0.940913834,1.6124e-11,"DOWN"
8,"A1A4S6","ARHGAP10","Rho GTPase-activating protein 10","ARHGAP10",18.73302707,19.28716774,19.33858173,18.65600528,19.08372446,19.19099131,0.07702179,0.203443281,0.147590425,0.143610799,0.455193275,"OTHER"
10,"A1L0T0","ILVBL","Acetolactate synthase-like protein","ILVBL",19.49240587,19.1800053,19.36593572,19.73894403,19.51795727,19.3576933,-0.24653816,-0.337951976,0.008242416,-0.184528504,0.30238554,"OTHER"
11,"A1L4H1","SSC5D","Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D","SSC5D",14.02107164,13.07960734,13.29203796,13.54987779,12.67404508,13.25404551,0.471193857,0.405562259,0.037992456,0.317128591,0.07572322,"OTHER"
12,"A1X283","SH3PXD2B","SH3 and PX domain-containing protein 2B","SH3PXD2B",19.06744611,19.71605525,19.84338729,19.31844594,19.78381745,19.90530829,-0.250999833,-0.067762202,-0.061920992,-0.124262742,0.505208815,"OTHER"
13,"A1XBS5","FAM92A1","Protein FAM92A1","FAM92A1",12.26912469,12.59128053,12.97420861,12.46050722,12.97985423,13.14742041,-0.191382534,-0.388573699,-0.173211793,-0.247812837,0.160223688,"OTHER"
14,"A1Z1Q3","MACROD2","O-acetyl-ADP-ribose deacetylase MACROD2","MACROD2",17.11021252,17.48094317,17.11452569,16.94163596,17.44133285,17.23491311,0.168576562,0.039610321,-0.120387417,0.034086907,0.810704639,"OTHER"
15,"A2A3N6","PIPSL","Putative PIP5K1A and PSMD4-like protein","PIPSL",15.32031292,15.53495199,15.59873041,15.52132426,15.50328976,15.19150684,-0.201011335,0.031662234,0.407223577,0.101318815,0.667614607,"OTHER"
17,"A2RRP1","NBAS","Neuroblastoma-amplified sequence","NBAS",20.68760133,20.61539072,20.5685397,20.62689497,20.50828135,20.4394716,0.060706361,0.10710937,0.129068103,0.09924196,0.599936436,"OTHER"
21,"A3KMH1","VWA8","von Willebrand factor A domain-containing protein 8","VWA8",14.61438021,14.64935951,15.08346611,14.54584881,14.24258877,15.00896793,0.068531401,0.406770744,0.07449818,0.19213458,0.32695555,"OTHER"
22,"A3KN83","SBNO1","Protein strawberry notch homolog 1;Protein strawberry notch homolog 2","SBNO1;SBNO2",10.70121956,11.04082488,10.96464886,10.94637959,10.1542354,10.89679995,-0.245160023,0.886589472,0.067848905,0.318336239,0.189890458,"OTHER"
