"id","uniprot","main_gene","Protein.names","Gene.names","up_low_log2_rep1","up_low_log2_rep2","up_low_log2_rep3","down_high_log2_rep1","down_high_log2_rep2","down_high_log2_rep3","log2_avg_upfc","log2_avg_downfc","qVal","directionfc"
1,"A1A5B6","Tbc1d25","TBC1 domain family member 25","Tbc1d25",0.445919738,-0.900660215,-0.748278716,0.031719031,0.72021456,-0.395295859,-0.26700022,0.193241823,0.189864699,"OTHER"
3,"A2A432","Cul4b","Cullin-4B","Cul4b",-0.121368628,-0.18231311,-0.35714889,0.141819795,0.417367664,-0.025335589,-0.216859142,0.189614385,0.514801373,"OTHER"
4,"A2A4P0","Dhx8","ATP-dependent RNA helicase DHX8","Dhx8",-0.033991807,-0.28176063,-0.178776297,0.135663542,0.099453205,0.096009573,-0.16124846,0.110487255,0.963785365,"OTHER"
6,"A2A5R2","Arfgef2","Brefeldin A-inhibited guanine nucleotide-exchange protein 2","Arfgef2",-0.086731362,0.054003402,0.119449214,0.073943833,-0.347901211,-0.134043872,0.031449572,-0.125745959,1,"OTHER"
7,"A2A5Z6","Smurf2","E3 ubiquitin-protein ligase SMURF2","Smurf2",-0.248663382,-0.47351581,-0.468299314,0.056118471,0.000411255,0.09544304,-0.392958174,0.051183378,0.360874066,"OTHER"
8,"A2A690","Tanc2","Protein TANC2","Tanc2",-0.266816546,-0.541561042,-0.612982417,-0.110657627,0.378591047,-0.483573583,-0.465923579,-0.028439297,0.503349453,"OTHER"
9,"A2A699","Fam171a2","Protein FAM171A2","Fam171a2",0.342027368,-0.203206243,-0.430191885,-2.880638714,0.767924622,-0.092344093,-0.059736692,-0.111644379,0.048775691,"OTHER"
11,"A2A6Q5","Cdc27","Cell division cycle protein 27 homolog","Cdc27",0.185269145,-0.070359844,0.095085873,-0.17572059,-0.269767752,-0.049294599,0.073846951,-0.162090652,1,"OTHER"
12,"A2A6T1","Cdr2l","Cerebellar degeneration-related protein 2-like","Cdr2l",-0.178285775,0.107836761,-0.197738677,-0.047793324,0.217776526,-0.300811088,-0.082489407,-0.02809137,1,"OTHER"
13,"A2A791","Zmym4","Zinc finger MYM-type protein 4","Zmym4",-0.675526602,1.128517686,0.11082015,-0.067412731,0.079614657,-0.357648374,0.375655015,-0.103911932,0.856166693,"OTHER"
18,"A2A8Z1","Osbpl9","Oxysterol-binding protein-related protein 9","Osbpl9",0.300694089,-0.02954365,0.186184889,0.005265657,0.283587672,0.080959611,0.158861804,0.128115629,1,"OTHER"
19,"A2A9C3","Szt2","Protein SZT2","Szt2",0.121178056,0.06868993,-0.208582549,0.23008677,-0.670604236,0.02865618,0.000852656,-0.088648171,1,"OTHER"
21,"A2AAE1","Kiaa1109","Uncharacterized protein KIAA1109","Kiaa1109",-0.958058825,-0.130804092,0.290822184,-0.484707879,-0.062589422,0.663684427,-0.178203501,0.118275,0.849463471,"OTHER"
22,"A2AAY5","Sh3pxd2b","SH3 and PX domain-containing protein 2B","Sh3pxd2b",-0.125817671,-0.16388066,-0.251143908,0.013118439,0.055568053,0.049931011,-0.17933211,0.039661612,1,"OTHER"
23,"A2ABV5","Med14","Mediator of RNA polymerase II transcription subunit 14","Med14",0.062989423,0.641787852,0.44572687,-0.145707132,0.184593473,0.185711525,0.403045808,0.083070673,0.835108232,"OTHER"
24,"A2ADA5","Pusl1","tRNA pseudouridine synthase-like 1","Pusl1",0.223439249,0.075493156,-0.058990396,0.045837393,0.178480152,0.204341227,0.084595121,0.144539519,1,"OTHER"
25,"A2ADY9","Ddi2","Protein DDI1 homolog 2","Ddi2",0.064079118,-0.008867536,0.286969412,0.156701396,0.322488825,0.062068822,0.119628162,0.184463597,1,"OTHER"
