"id","uniprot","main_gene","Protein.names","Gene.names","Mhigh_1","Mhigh_2","Mhigh_3","Mlow_1","Mlow_2","Mlow_3","high_low_log2_rep1","high_low_log2_rep2","high_low_log2_rep3","log2_avg_high_low","qVal","directionfc"
1,"A1A5B6","Tbc1d25","TBC1 domain family member 25","Tbc1d25",12.71770754,11.91432037,12.99762992,12.60772732,12.47618545,12.58712328,0.109980221,-0.561865077,0.410506633,0.040678212,1,"OTHER"
3,"A2A432","Cul4b","Cullin-4B","Cul4b",18.10491643,17.95595171,18.64563958,18.39117669,18.2038045,18.54992743,-0.286260261,-0.247852793,0.095712145,-0.135656488,0.899389657,"OTHER"
4,"A2A4P0","Dhx8","ATP-dependent RNA helicase DHX8","Dhx8",15.85740349,15.76249752,16.10683222,16.27928381,16.15281713,16.30778034,-0.421880324,-0.390319618,-0.200948124,-0.334370558,0.34790047,"OTHER"
6,"A2A5R2","Arfgef2","Brefeldin A-inhibited guanine nucleotide-exchange protein 2","Arfgef2",18.10632494,18.47105014,18.18214508,18.01204399,18.24025571,18.02243662,0.094280952,0.230794437,0.15970846,0.162672189,0.861003353,"OTHER"
7,"A2A5Z6","Smurf2","E3 ubiquitin-protein ligase SMURF2","Smurf2",14.35783426,14.52532243,14.69077722,14.7541896,14.75395418,14.65349283,-0.396355346,-0.228631755,0.037284394,-0.184752718,0.778448608,"OTHER"
8,"A2A690","Tanc2","Protein TANC2","Tanc2",15.75648652,16.03660316,16.75483059,16.23376638,16.66539217,16.43458575,-0.477279863,-0.62878901,0.320244847,-0.198928449,0.562181946,"OTHER"
9,"A2A699","Fam171a2","Protein FAM171A2","Fam171a2",12.95862313,12.19704693,13.57790375,12.65520563,12.78991559,13.67039481,0.303417504,-0.592868659,-0.092491062,-0.081619167,0.927249256,"OTHER"
11,"A2A6Q5","Cdc27","Cell division cycle protein 27 homolog","Cdc27",17.12065665,17.25238015,17.03901659,17.0962852,17.28539915,17.19408887,0.024371453,-0.033019001,-0.155072272,-0.052647151,0.995639312,"OTHER"
12,"A2A6T1","Cdr2l","Cerebellar degeneration-related protein 2-like","Cdr2l",17.38824088,17.0935083,17.44690987,17.46696889,17.40057527,17.32216596,-0.07872801,-0.307066977,0.124743908,-0.076285569,0.970066371,"OTHER"
13,"A2A791","Zmym4","Zinc finger MYM-type protein 4","Zmym4",11.10739023,10.98490424,11.26633905,11.65210637,9.88832909,11.15946051,-0.544716132,1.09657515,0.106878537,0.378839456,0.694133567,"OTHER"
