M7	M8	M9	M10	M1	M11	M2	M12	M3	M4	M5	M6	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	MS/MS count	Protein IDs	Majority protein IDs	Protein names	Gene names	id
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	N	N	N	N	N	N	N	N	N	N	T	T	T	T	T
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	2	2	3.7	3.7	3.7	87.456	0	40.209	0	A0A087WPF7-3;A0A087WPF7	A0A087WPF7-3;A0A087WPF7		Auts2	0
6360.10009765625	3001.5	7561.2001953125	5172.39990234375	5230.60009765625	5281.39990234375	6836.89990234375	6861.5	7395.10009765625	7864.7001953125	3527.19995117188	4938.10009765625	3	3	3	3.8	3.8	3.8	82.574	0	22.946	1	A1A5B6	A1A5B6	TBC1 domain family member 25	Tbc1d25	1
2148.5	717.47998046875	1455.90002441406	NaN	805.77001953125	1301.19995117188	1104.5	2849.10009765625	2363.30004882813	1108.80004882813	1274.90002441406	1231.40002441406	7	7	7	7.6	7.6	7.6	104.16	0	280.5	2	A1L3T7	A1L3T7	Protein FAM65C	Fam65c	2
266180	197720	379150	233640	288100	282030	362280	444640	461240	292350	307510	403910	12	12	9	21.1	21.1	17.8	110.7	0	323.31	13	A2A432;A2A432-2	A2A432;A2A432-2	Cullin-4B	Cul4b	3
56054	43227	65246	48992	66650	49465	87425	83230	97493	71856	69265	96611	3	3	3	3.5	3.5	3.5	142.57	0	18.613	4	A2A4P0	A2A4P0	ATP-dependent RNA helicase DHX8	Dhx8	4
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	2.1	2.1	2.1	145.6	0	176.11	0	A2A5K6	A2A5K6	Zinc finger protein 335	Znf335	5
266440	282560	274970	223120	221520	237130	371550	299060	319990	230250	371510	389910	18	18	15	13.2	13.2	11.2	202.24	0	323.31	15	A2A5R2	A2A5R2	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	Arfgef2	6
19824	18337	24450	16397	23158	19591	33154	31177	30973	21515	22998	25112	4	4	4	7.6	7.6	7.6	86.174	0	5.8686	5	A2A5Z6;A2A5Z6-2	A2A5Z6;A2A5Z6-2	E3 ubiquitin-protein ligase SMURF2	Smurf2	7
52267	52272	102240	38512	64580	72584	124720	87272	106450	59248	82529	78071	10	10	10	6.3	6.3	6.3	220.26	0	226.17	5	A2A690;A2A690-2	A2A690;A2A690-2	Protein TANC2	Tanc2	8
7516	3651.30004882813	11305	811.909973144531	5405.60009765625	6640.7998046875	8497.7001953125	12656	15669	7563.10009765625	7109.2998046875	13044	7	7	7	13.4	13.4	13.4	87.486	0	323.31	2	A2A699;A2A699-2	A2A699;A2A699-2	Protein FAM171A2	Fam171a2	9
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9	9	9	6	6	6	164.99	0	323.31	0	A2A6A1	A2A6A1	G patch domain-containing protein 8	Gpatch8	10
134550	121410	124500	94769	117420	107560	191680	143600	180210	147370	175830	215910	1	1	1	1.8	1.8	1.8	91.841	0	21.446	2	A2A6Q5;A2A6Q5-2;A2A6Q5-3	A2A6Q5;A2A6Q5-2;A2A6Q5-3	Cell division cycle protein 27 homolog	Cdc27	11
161970	108750	165180	124660	151820	135080	207610	160040	196940	148100	215480	192610	12	12	12	31	31	31	53.212	0	323.31	9	A2A6T1	A2A6T1	Cerebellar degeneration-related protein 2-like	Cdr2l	12
2083.10009765625	1576	2277.30004882813	1581.59997558594	2697	1778.80004882813	1137.19995117188	2121.19995117188	2749	1863.90002441406	2394.69995117188	3329.69995117188	4	4	4	2	2	2	172.44	0	218.05	1	A2A791;A2A791-2	A2A791;A2A791-2	Zinc finger MYM-type protein 4	Zmym4	13
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8	8	8	7.5	7.5	7.5	110.65	0	187.58	0	A2A7S8-2;A2A7S8;A2A7S8-3;A2A7S8-4	A2A7S8-2;A2A7S8;A2A7S8-3;A2A7S8-4	Uncharacterized protein KIAA1522	Kiaa1522	14
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	2	2	2.2	2.2	2.2	130.14	0	3.5881	1	A2A870	A2A870	Fas-binding factor 1	Fbf1	15
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6	6	6	3.6	3.6	3.6	253.41	0	39.09	0	A2A884	A2A884	Transcription factor HIVEP3	Hivep3	16
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	3	3	5.4	5.4	5.4	72.499	0	10.021	1	A2A8U2;A2A8U2-3;A2A8U2-2	A2A8U2;A2A8U2-3	Transmembrane protein 201	Tmem201	17
169910	113000	127060	135670	141460	146910	188940	160400	186860	192330	178290	238470	6	6	6	9.5	9.5	9.5	83.108	0	12.604	7	A2A8Z1;A2A8Z1-2	A2A8Z1;A2A8Z1-2	Oxysterol-binding protein-related protein 9	Osbpl9	18
2310.5	1946.90002441406	2204.19995117188	2156	2256.5	1306.40002441406	2647.39990234375	2683.5	2255.19995117188	2709	2674.19995117188	2189.10009765625	3	3	3	1	1	1	377.62	0	13.77	1	A2A9C3;A2A9C3-2	A2A9C3;A2A9C3-2	Protein SZT2	Szt2	19
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	2	2	6.9	6.9	6.9	67.001	0	20.047	0	A2A9T0;A2A9T0-2	A2A9T0;A2A9T0-2	TANK-binding kinase 1-binding protein 1	Tbkbp1	20
170680	113920	89207	97040	142330	116510	213250	168660	148040	80870	187590	203140	5	5	5	1.4	1.4	1.4	555.36	0	138.2	2	A2AAE1;A2AAE1-3;A2AAE1-4;A2AAE1-6;A2AAE1-2	A2AAE1;A2AAE1-3;A2AAE1-4;A2AAE1-6;A2AAE1-2	Uncharacterized protein KIAA1109	Kiaa1109	21
210590	153240	256650	169070	194370	170100	250950	317100	308370	196630	215750	290630	12	11	11	15	14.1	14.1	101.52	0	97.769	14	A2AAY5	A2AAY5	SH3 and PX domain-containing protein 2B	Sh3pxd2b	22
61509	33104	48178	44234	50701	40184	56214	65400	54647	58462	84477	83486	2	2	2	2.4	2.4	2.4	160.96	0	17.057	2	A2ABV5;A2ABV5-2	A2ABV5;A2ABV5-2	Mediator of RNA polymerase II transcription subunit 14	Med14	23
13399	9612.5	12631	11004	10564	11619	18392	17369	15428	13614	18666	16612	2	2	2	8.6	8.6	8.6	31.992	0.00031551	3.2055	4	A2ADA5;A2ADA5-2;A2ADA5-3	A2ADA5;A2ADA5-2;A2ADA5-3	tRNA pseudouridine synthase-like 1	Pusl1	24
346540	198140	271330	307330	287440	264640	265990	338070	281220	331690	254620	384860	5	5	5	22.8	22.8	22.8	44.59	0	76.407	9	A2ADY9;Q9DAF3	A2ADY9	Protein DDI1 homolog 2	Ddi2	25
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	2	2	1.9	1.9	1.9	67.407	0	46.342	0	A2AEV7	A2AEV7		Ccdc120	26
56114	83154	126890	55892	51136	94905	158180	165500	159490	67168	142050	194680	14	14	14	8	8	8	237.77	0	254.07	16	A2AF47	A2AF47	Dedicator of cytokinesis protein 11	Dock11	27
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5	5	5	9.3	9.3	9.3	90.11	0	170.97	1	A2AG58;A2AG58-2	A2AG58;A2AG58-2	Uncharacterized protein CXorf23 homolog		29
7426	3559	7986.2001953125	7269.2998046875	7351.7998046875	5720.39990234375	5615.60009765625	4937.7001953125	7462.2001953125	7056.2001953125	3896.39990234375	5250.2001953125	4	4	4	2.3	2.3	2.3	244.56	0	137.05	4	A2AGH6;A2AGH6-2;A2AGH6-3;Q8BQM9;Q8BQM9-2	A2AGH6;A2AGH6-2;A2AGH6-3	Mediator of RNA polymerase II transcription subunit 12	Med12	30
1038900	913400	1266400	753510	896290	976040	1424200	1598900	1601900	1053300	1540900	1809200	21	21	20	13.4	13.4	12.7	225.63	0	68.723	33	A2AGT5;A2AGT5-2;A2AGT5-3	A2AGT5;A2AGT5-2;A2AGT5-3	Cytoskeleton-associated protein 5	Ckap5	31
8246.599609375	9281.2001953125	7635.2998046875	7282.2001953125	7942.89990234375	7883.2001953125	12748	9683.2001953125	10513	8636.7001953125	11934	9841.7001953125	3	3	3	3.5	3.5	3.5	142.88	0	12.639	3	A2AH22;A2AH22-7;A2AH22-2;A2AH22-6;A2AH22-4;A2AH22-3;A2AH22-5	A2AH22;A2AH22-7;A2AH22-2;A2AH22-6;A2AH22-4;A2AH22-3;A2AH22-5	Activating molecule in BECN1-regulated autophagy protein 1	Ambra1	32
72768	75984	85088	57611	66423	77074	129030	119170	117830	76707	140790	145920	15	15	15	13.5	13.5	13.5	175.89	0	271.03	11	A2AHC3;A2AHC3-2	A2AHC3;A2AHC3-2	Calmodulin-regulated spectrin-associated protein 1	Camsap1	33
19943	18590	17531	13351	25830	23269	21585	17996	28687	25056	30121	29976	1	1	1	3.2	3.2	3.2	67.182	0	4.3083	2	A2AI05;A2AI05-3;A2AI05-2	A2AI05;A2AI05-3;A2AI05-2	NADPH-dependent diflavin oxidoreductase 1	Ndor1	34
40555	30501	29738	33497	36313	30777	41441	35845	36057	40045	40328	41496	4	4	4	9.5	9.5	9.5	80.088	0	323.31	4	A2AI08	A2AI08	Taperin	Tprn	35
31030	23687	25342	22728	32644	20986	44511	33676	53632	34518	37123	63931	3	3	3	8.6	8.6	8.6	56.878	0	11.882	5	A2AIG8;A2AIG8-2	A2AIG8;A2AIG8-2	1-aminocyclopropane-1-carboxylate synthase-like protein 1	Accs	36
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7	7	7	5.5	5.5	5.5	201.44	0	156.98	2	A2AIV2;A2AIV2-2	A2AIV2;A2AIV2-2	Protein virilizer homolog	Kiaa1429	37
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	5.6	5.6	5.6	48.025	0	46.856	0	A2AIW0;A2AIW0-3;A2AIW0-5;A2AIW0-4;A2AIW0-2	A2AIW0;A2AIW0-3;A2AIW0-5;A2AIW0-4;A2AIW0-2	Serologically defined colon cancer antigen 3 homolog	Sdccag3	38
60535	42298	50544	44007	58864	50768	71363	78727	66435	66221	64822	76614	4	4	4	11.2	11.2	11.2	75.149	0	84.485	4	A2AJ15	A2AJ15	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase	Man1b1	39
10205	10156	9509.2998046875	9889.7998046875	7153.5	9286.7998046875	12915	10172	10031	9911.2001953125	11136	11836	3	3	3	2.8	2.8	2.8	150.49	0	7.2934	3	A2AJ88;A2AJ88-3;A2AJ88-2	A2AJ88;A2AJ88-3;A2AJ88-2	Patatin-like phospholipase domain-containing protein 7	Pnpla7	40
566220	428160	576860	434880	485610	482740	745360	698700	862460	565710	727710	974790	27	27	26	40.7	40.7	40	93.275	0	323.31	18	A2AJI0;A2AJI0-2	A2AJI0;A2AJI0-2	MAP7 domain-containing protein 1	Map7d1	41
7245.2001953125	4421.7001953125	7094.10009765625	8991.900390625	6807.39990234375	7455.60009765625	7773.7998046875	6742	9076.7998046875	7581	5958.10009765625	6114.89990234375	2	2	2	4.3	4.3	4.3	60.336	0.00015898	3.3847	3	A2AJL3;A2AJL3-2	A2AJL3;A2AJL3-2	FGGY carbohydrate kinase domain-containing protein	Fggy	42
11211	4516.10009765625	10881	7700.7998046875	11335	10305	14322	11688	12694	11782	9031	10418	4	4	4	7.1	7.1	7.1	92.114	0	109.68	3	A2AJT4	A2AJT4	Arginine/serine-rich protein PNISR	Pnisr	43
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	3	3	8.7	8.7	8.7	61.558	0	53.619	0	A2AKB9;A2AKB9-3;A2AKB9-4;A2AKB9-2	A2AKB9;A2AKB9-3	DDB1- and CUL4-associated factor 10	Dcaf10	44
9693.900390625	13896	11695	14599	9143	11143	21965	13677	22377	10803	17435	20773	2	2	2	3.9	3.9	3.9	76.237	0	4.4776	2	Q99J38;Q9CY00;A2AKQ8	Q99J38;Q9CY00;A2AKQ8	Tetratricopeptide repeat protein 30A1;Tetratricopeptide repeat protein 30B;Tetratricopeptide repeat protein 30A2	Ttc30a1;Ttc30b;Ttc30a2	45
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	2.6	2.6	2.6	73.432	0	4.2024	0	A2ALS5;A2ALS5-2;A2ALS5-3;A2ALS5-4	A2ALS5;A2ALS5-2;A2ALS5-3;A2ALS5-4	Rap1 GTPase-activating protein 1	Rap1gap	46
45068	30085	23872	29530	32878	33818	41627	30242	39330	29243	39438	42958	11	11	10	9.9	9.9	9.4	164.7	0	312.05	7	A2ALU4;A2ALU4-2	A2ALU4	Protein Shroom2	Shroom2	47
146210	80186	123110	104460	117050	83104	148190	131890	163100	147890	152830	163190	3	3	3	10.1	10.1	10.1	41.937	0	3.6853	2	A2ALW5;A2ALW5-2	A2ALW5;A2ALW5-2	DnaJ homolog subfamily C member 25	Dnajc25	48
