"","low_1","low_2","low_3","up_1","up_2","up_3","high_1","high_2","high_3","down_1","down_2","down_3","Peptides","Razor...unique.peptides","Unique.peptides","Sequence.coverage....","Unique...razor.sequence.coverage....","Unique.sequence.coverage....","Mol..weight..kDa.","Q.value","Score","MS.MS.count","Protein.IDs","Majority.protein.IDs","Protein.names","Gene.names","id","uniprot","main_gene"
"1",510610,903350,1126100,466040,761890,937240,642070,1055900,860870,620550,856790,971790,"10","10","10","46.3","46.3","46.3","28.17","0","95.373","20","P0DPI2;A0A0B4J2D5","P0DPI2;A0A0B4J2D5","","","0","P0DPI2",NA
"2",22359,40715,40295,19265,34974,28030,25977,36584,39159,26628,33918,39029,"1","1","1","39.7","39.7","39.7","7.0249","0","14.78","9","A0A0U1RRE5","A0A0U1RRE5","","","1","A0A0U1RRE5",NA
"3",1846.19995117188,2352.39990234375,2970.60009765625,1580.69995117188,2009.30004882813,2255,1389.69995117188,1094.09997558594,1515.19995117188,1271.59997558594,1269.19995117188,1280.40002441406,"1","1","1","36.6","36.6","36.6","7.6794","0.00077268","1.6071","1","A0A0U1RRL7","A0A0U1RRL7","","","2","A0A0U1RRL7",NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","2.5","2.5","2.5","64.177","0.0071365","1.1193","1","A0AVF1","A0AVF1","Intraflagellar transport protein 56","TTC26","3","A0AVF1","TTC26"
"5",1877100,2550700,3025300,1815700,2031600,2314800,2549700,2799900,2784400,2315300,2352600,2641100,"30","30","30","37.5","37.5","37.5","117.97","0","125.95","59","A0AVT1","A0AVT1","Ubiquitin-like modifier-activating enzyme 6","UBA6","4","A0AVT1","UBA6"
"6",4405800,5535700,6407200,3842300,4691600,4686300,5027500,5508400,5772400,4571700,4749600,5812000,"23","23","23","30.9","30.9","30.9","102.36","0","155.14","32","A0FGR8","A0FGR8","Extended synaptotagmin-2","ESYT2","5","A0FGR8","ESYT2"
"7",79519,149960,168820,81865,123620,145660,87325,152930,136580,93405,133870,134930,"5","5","5","5.9","5.9","5.9","164.2","0","91.835","9","A0JNW5","A0JNW5","UHRF1-binding protein 1-like","UHRF1BP1L","6","A0JNW5","UHRF1BP1L"
"8",43819,37466,42641,38268,27217,34233,27757,18027,21483,33359,17671,19097,"2","2","2","5.2","5.2","5.2","71.639","0","19.345","3","A0MZ66","A0MZ66","Shootin-1","KIAA1598","7","A0MZ66","KIAA1598"
"9",318640,617810,749860,268940,521840,578220,418600,727220,717300,382050,599620,699730,"11","11","11","17.8","17.8","17.8","89.374","0","61.279","13","A1A4S6","A1A4S6","Rho GTPase-activating protein 10","ARHGAP10","8","A1A4S6","ARHGAP10"
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","9.2","9.2","9.2","20.324","0.0033308","1.3391","0","A1KXE4","A1KXE4","Myelin-associated neurite-outgrowth inhibitor","FAM168B","9","A1KXE4","FAM168B"
"11",674990,834780,841710,621550,639620,652560,708590,675160,731030,614090,546730,628500,"11","11","11","28.5","28.5","28.5","67.867","0","115.23","20","A1L0T0","A1L0T0","Acetolactate synthase-like protein","ILVBL","10","A1L0T0","ILVBL"
"12",9251.2998046875,7266.89990234375,12240,10435,6053.5,7879.39990234375,15972,9840.2001953125,10852,15978,10606,14755,"1","1","1","1","1","1","165.74","0.0028849","1.3744","1","A1L4H1","A1L4H1","Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D","SSC5D","11","A1L4H1","SSC5D"
"13",504330,1003700,1230300,439050,997060,1042000,527800,978980,1017800,512970,851600,1115000,"26","24","24","31.6","29.5","29.5","101.58","0","323.31","43","A1X283","A1X283","SH3 and PX domain-containing protein 2B","SH3PXD2B","12","A1X283","SH3PXD2B"
"14",4347.7998046875,8982.7001953125,11368,6076.10009765625,8087.10009765625,9860.599609375,4742.10009765625,7014.60009765625,8706.2998046875,4052.80004882813,6810.60009765625,12772,"1","1","1","3.8","3.8","3.8","33.43","0.0021351","1.4187","1","A1XBS5","A1XBS5","Protein FAM92A1","FAM92A1","13","A1XBS5","FAM92A1"
"15",97101,197900,193260,111330,180280,155130,135920,207940,153530,124760,178610,164150,"1","1","1","2.6","2.6","2.6","47.421","0.0015323","1.4831","2","A1Z1Q3","A1Z1Q3","O-acetyl-ADP-ribose deacetylase MACROD2","MACROD2","14","A1Z1Q3","MACROD2"
"16",36280,51646,46883,28706,38470,48575,39307,53968,53690,40657,55097,53670,"8","4","0","10.4","6.4","0","95.047","0","7.067","6","A2A3N6","A2A3N6","Putative PIP5K1A and PSMD4-like protein","PIPSL","15","A2A3N6","PIPSL"
"17",1249100,1658400,1781600,1192500,1477600,1535100,1622500,1826000,1682500,1610300,1592100,1731900,"31","31","31","15.9","15.9","15.9","268.57","0","273.65","46","A2RRP1","A2RRP1","Neuroblastoma-amplified sequence","NBAS","17","A2RRP1","NBAS"
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","7.1","7.1","7.1","67.038","0","56.725","1","A2RU67","A2RU67","Uncharacterized protein KIAA1467","KIAA1467","18","A2RU67","KIAA1467"
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1.1","1.1","1.1","135.89","0","25.355","0","A2RUS2","A2RUS2","DENN domain-containing protein 3","DENND3","19","A2RUS2","DENND3"
"20",931.719970703125,1921.5,2746.69995117188,775.369995117188,1894.90002441406,1969.40002441406,1575.80004882813,2670.39990234375,2385.10009765625,1016.20001220703,2618,3179.80004882813,"1","1","1","9.6","9.6","9.6","21.647","0.00031363","1.8576","1","A3DSL0","A3DSL0","","","20","A3DSL0",NA
"21",18451,21554,41311,29954,25572,56638,24097,29211,37565,28253,29837,43737,"3","3","3","1.6","1.6","1.6","214.82","0","7.1305","4","A3KMH1","A3KMH1","von Willebrand factor A domain-containing protein 8","VWA8","21","A3KMH1","VWA8"
"22",1522.19995117188,1267.09997558594,2388.80004882813,1317.80004882813,2248.30004882813,2711.30004882813,1599.5,2394.80004882813,2162.19995117188,2283.5,2911.39990234375,3157,"2","2","2","1.9","1.9","1.9","154.31","0","5.1315","2","A3KN83;Q9Y2G9","A3KN83;Q9Y2G9","Protein strawberry notch homolog 1;Protein strawberry notch homolog 2","SBNO1;SBNO2","22","A3KN83","SBNO1"
"23",17060,27196,27721,13179,25532,27479,21827,35108,26159,17173,37997,36058,"2","2","2","3.6","3.6","3.6","83.343","0","7.2855","3","A4D1P6","A4D1P6","WD repeat-containing protein 91","WDR91","23","A4D1P6","WDR91"
"24",6418.2998046875,7618.39990234375,8794.5,5032.39990234375,7707.39990234375,5714,3970.69995117188,5669.2998046875,4134.60009765625,4717.89990234375,4123,5318.89990234375,"1","1","1","10.2","10.2","10.2","27.202","0","30.052","3","A4D2B0","A4D2B0","Metallo-beta-lactamase domain-containing protein 1","MBLAC1","24","A4D2B0","MBLAC1"
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","3.1","3.1","3.1","38.658","0.0056954","1.2096","1","A5D8V6","A5D8V6","Vacuolar protein sorting-associated protein 37C","VPS37C","25","A5D8V6","VPS37C"
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1.8","1.8","1.8","107.5","0","2.0633","0","A5PL33","A5PL33","Protein KRBA1","KRBA1","26","A5PL33","KRBA1"
