"","low_1","low_2","low_3","up_1","up_2","up_3","high_1","high_2","high_3","down_1","down_2","down_3","Peptides","Razor...unique.peptides","Unique.peptides","Sequence.coverage....","Unique...razor.sequence.coverage....","Unique.sequence.coverage....","Mol..weight..kDa.","Q.value","Score","MS.MS.count","Protein.IDs","Majority.protein.IDs","Protein.names","Gene.names","id","uniprot","main_gene"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","3.7","3.7","3.7","87.456","0","40.209","0","A0A087WPF7-3;A0A087WPF7","A0A087WPF7-3;A0A087WPF7","","Auts2","0","A0A087WPF7-3","Auts2"
"2",5230.60009765625,6836.89990234375,7395.10009765625,7864.7001953125,3527.19995117188,4938.10009765625,6360.10009765625,3001.5,7561.2001953125,5172.39990234375,5281.39990234375,6861.5,"3","3","3","3.8","3.8","3.8","82.574","0","22.946","1","A1A5B6","A1A5B6","TBC1 domain family member 25","Tbc1d25","1","A1A5B6","Tbc1d25"
"3",805.77001953125,1104.5,2363.30004882813,1108.80004882813,1274.90002441406,1231.40002441406,2148.5,717.47998046875,1455.90002441406,NA,1301.19995117188,2849.10009765625,"7","7","7","7.6","7.6","7.6","104.16","0","280.5","2","A1L3T7","A1L3T7","Protein FAM65C","Fam65c","2","A1L3T7","Fam65c"
"4",288100,362280,461240,292350,307510,403910,266180,197720,379150,233640,282030,444640,"12","12","9","21.1","21.1","17.8","110.7","0","323.31","13","A2A432;A2A432-2","A2A432;A2A432-2","Cullin-4B","Cul4b","3","A2A432","Cul4b"
"5",66650,87425,97493,71856,69265,96611,56054,43227,65246,48992,49465,83230,"3","3","3","3.5","3.5","3.5","142.57","0","18.613","4","A2A4P0","A2A4P0","ATP-dependent RNA helicase DHX8","Dhx8","4","A2A4P0","Dhx8"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","2.1","2.1","2.1","145.6","0","176.11","0","A2A5K6","A2A5K6","Zinc finger protein 335","Znf335","5","A2A5K6","Znf335"
"7",221520,371550,319990,230250,371510,389910,266440,282560,274970,223120,237130,299060,"18","18","15","13.2","13.2","11.2","202.24","0","323.31","15","A2A5R2","A2A5R2","Brefeldin A-inhibited guanine nucleotide-exchange protein 2","Arfgef2","6","A2A5R2","Arfgef2"
"8",23158,33154,30973,21515,22998,25112,19824,18337,24450,16397,19591,31177,"4","4","4","7.6","7.6","7.6","86.174","0","5.8686","5","A2A5Z6;A2A5Z6-2","A2A5Z6;A2A5Z6-2","E3 ubiquitin-protein ligase SMURF2","Smurf2","7","A2A5Z6","Smurf2"
"9",64580,124720,106450,59248,82529,78071,52267,52272,102240,38512,72584,87272,"10","10","10","6.3","6.3","6.3","220.26","0","226.17","5","A2A690;A2A690-2","A2A690;A2A690-2","Protein TANC2","Tanc2","8","A2A690","Tanc2"
"10",5405.60009765625,8497.7001953125,15669,7563.10009765625,7109.2998046875,13044,7516,3651.30004882813,11305,811.909973144531,6640.7998046875,12656,"7","7","7","13.4","13.4","13.4","87.486","0","323.31","2","A2A699;A2A699-2","A2A699;A2A699-2","Protein FAM171A2","Fam171a2","9","A2A699","Fam171a2"
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","9","9","6","6","6","164.99","0","323.31","0","A2A6A1","A2A6A1","G patch domain-containing protein 8","Gpatch8","10","A2A6A1","Gpatch8"
"12",117420,191680,180210,147370,175830,215910,134550,121410,124500,94769,107560,143600,"1","1","1","1.8","1.8","1.8","91.841","0","21.446","2","A2A6Q5;A2A6Q5-2;A2A6Q5-3","A2A6Q5;A2A6Q5-2;A2A6Q5-3","Cell division cycle protein 27 homolog","Cdc27","11","A2A6Q5","Cdc27"
"13",151820,207610,196940,148100,215480,192610,161970,108750,165180,124660,135080,160040,"12","12","12","31","31","31","53.212","0","323.31","9","A2A6T1","A2A6T1","Cerebellar degeneration-related protein 2-like","Cdr2l","12","A2A6T1","Cdr2l"
